               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11223,             0.52895,                   0,             0.27566,              0.3773,             0.23067,            0.058376,            0.089903,             0.47248,                   0,           0.0033111,           0.0033111,              0.0702
                   1,            0.084785,             0.64327,                   0,             0.33418,             0.49446,             0.32303,            0.098913,            0.079506,             0.60031,                   0,           0.0065787,           0.0065787,            0.040134
                   2,            0.081484,             0.67291,                   0,             0.38291,             0.51374,             0.36972,             0.10264,            0.075629,              0.5923,                   0,           0.0097802,           0.0097802,            0.010002
                   3,            0.072252,             0.62704,                   0,             0.61916,             0.63139,             0.65033,              0.2661,            0.063527,             0.52167,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.066617,             0.60404,                   0,             0.81392,             0.68782,             0.77865,             0.36424,            0.059652,             0.47681,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.063657,             0.60893,                   0,             0.83766,             0.71881,             0.79856,              0.3666,            0.056699,             0.47608,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.060428,             0.59193,                   0,             0.87092,             0.71936,             0.81365,             0.42695,            0.054582,             0.46453,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.059057,             0.58389,                   0,             0.86415,             0.73878,             0.82432,             0.44548,             0.05341,             0.46754,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.058937,             0.59038,                   0,              0.8645,             0.75394,             0.82797,             0.44199,            0.053207,             0.47117,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.05724,             0.57519,                   0,              0.8752,             0.75823,             0.83955,             0.45805,            0.051641,             0.45618,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.05757,             0.58299,                   0,             0.88891,             0.75819,             0.84054,             0.46499,            0.050819,             0.45184,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.055966,             0.56505,                   0,             0.88035,             0.76999,             0.84433,             0.46202,            0.051731,             0.45889,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.056133,             0.56361,                   0,             0.87793,             0.76714,             0.84201,             0.47577,            0.050251,             0.45295,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.055577,              0.5601,                   0,             0.89091,             0.76744,             0.84394,             0.48019,            0.049723,             0.44877,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.055184,             0.55668,                   0,             0.87315,             0.76613,             0.84286,             0.47274,            0.050454,              0.4576,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.054455,             0.55874,                   0,             0.88838,             0.78066,             0.85441,             0.48554,            0.049602,             0.45037,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.054468,             0.55577,                   0,             0.89666,             0.77067,             0.84936,             0.48633,            0.049676,             0.44486,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.053696,             0.54497,                   0,              0.8835,             0.77978,             0.85359,             0.48883,            0.049467,             0.45066,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.053824,             0.54587,                   0,              0.8939,             0.77501,             0.85456,             0.49135,            0.048996,             0.44174,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.053133,              0.5521,                   0,             0.89698,             0.78105,             0.85788,             0.49752,            0.048874,             0.44364,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.053041,             0.54087,                   0,             0.90066,              0.7792,             0.85732,             0.49948,            0.048352,             0.43981,                   0,            0.008119,            0.008119,            0.008119
                  21,             0.05344,             0.55584,                   0,             0.89552,             0.77944,             0.85466,             0.49103,            0.049164,             0.44569,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.052425,             0.54311,                   0,             0.90133,              0.7788,             0.85476,             0.49993,             0.04834,             0.43964,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.052457,             0.54144,                   0,             0.89628,             0.79141,             0.86212,             0.50583,            0.048051,             0.43956,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.052096,             0.53536,                   0,             0.90096,             0.78016,             0.85893,             0.50263,            0.048448,             0.44327,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.051884,             0.54452,                   0,             0.90001,             0.78909,             0.86407,             0.50802,            0.047859,             0.44002,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.052028,             0.53468,                   0,               0.903,             0.78395,             0.86079,             0.50661,            0.047899,             0.43941,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.052164,             0.53778,                   0,             0.89902,             0.79626,             0.86522,             0.50843,            0.048065,             0.43963,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.051307,             0.53492,                   0,              0.9012,             0.79357,             0.86375,             0.51325,            0.047759,             0.43632,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.051228,             0.53421,                   0,             0.90648,             0.78656,             0.86337,             0.51162,            0.047639,              0.4369,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.050859,             0.52572,                   0,             0.90562,             0.78808,             0.86442,             0.51171,            0.047537,             0.43695,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.051479,             0.53388,                   0,             0.90434,             0.79354,             0.86793,              0.5135,            0.047591,             0.43645,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.051276,             0.53414,                   0,             0.91112,              0.7848,             0.86458,              0.5109,            0.047532,             0.43639,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.050937,             0.53459,                   0,             0.90402,             0.79574,             0.86958,             0.51106,             0.04744,             0.43558,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.050471,             0.52383,                   0,             0.91007,             0.79197,             0.86615,             0.51841,            0.047139,             0.43406,                   0,            0.006733,            0.006733,            0.006733
                  35,             0.05089,             0.52751,                   0,             0.90786,             0.79417,             0.86618,             0.51718,            0.047145,             0.43523,                   0,            0.006634,            0.006634,            0.006634
                  36,                0.05,             0.52262,                   0,             0.90464,             0.80047,             0.87145,             0.52084,            0.046947,             0.43465,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.049952,              0.5155,                   0,             0.90725,             0.79321,              0.8679,             0.51818,            0.047198,             0.43516,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.050354,             0.53033,                   0,             0.90186,             0.80024,             0.86908,             0.51818,            0.047281,             0.43586,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.050085,             0.52292,                   0,             0.90329,             0.79865,             0.86872,             0.51875,            0.047077,             0.43614,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.049735,             0.51549,                   0,              0.9116,             0.79717,             0.87145,             0.52361,            0.046935,             0.43301,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.050106,             0.52859,                   0,             0.90416,              0.8027,             0.87228,             0.52284,            0.046894,             0.43408,                   0,             0.00604,             0.00604,             0.00604
